Condition;X;Y;Z;Time stamp
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:38 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:39 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:40 PM
Warping;0;0;0;11/19/2020 2:22:41 PM
Warping;0;0;0;11/19/2020 2:22:41 PM
Warping;0;0;0;11/19/2020 2:22:41 PM
Warping;0;0;0;11/19/2020 2:22:41 PM
Warping;0;0;0;11/19/2020 2:22:41 PM
Warping;0;0;0;11/19/2020 2:22:41 PM
Warping;0;0;0;11/19/2020 2:22:41 PM
Warping;0;0;0;11/19/2020 2:22:41 PM
